freq,unique_id,method,kind,mase,smape,rmsse
hourly,H258,autotheta,model,1.790687265162212,0.013860134296626872,1.8059278988904983
hourly,H263,autotheta,model,1.7614151141038803,0.012608962398637099,1.696538080774821
hourly,H267,autotheta,model,6.09474183619138,0.25319016903318753,5.7438782520118465
hourly,H27,autotheta,model,0.8147219762112069,0.051953091149526585,0.6597672970875677
hourly,H271,autotheta,model,1.698554007609847,0.14068573770469472,1.697930030481367
hourly,H272,autotheta,model,0.6682598848427223,0.1288128692694437,0.6573529031992503
hourly,H273,autotheta,model,1.6793040065458904,0.013945726047094667,1.7428973894043236
hourly,H28,autotheta,model,0.6425392178340656,0.03222308387292001,0.570292890551253
hourly,H282,autotheta,model,1.7896243027836667,0.008820320850467108,1.6838433479799633
hourly,H284,autotheta,model,0.8797864028464737,0.005240424819084218,0.8908207240339178
hourly,H288,autotheta,model,1.8414089762025665,0.010745054094318562,1.9209342304898245
hourly,H29,autotheta,model,0.6017944251542295,0.03958493057271106,0.5418609280542033
hourly,H290,autotheta,model,1.0985446798566796,0.009350020236782339,1.1223202758330455
hourly,H293,autotheta,model,1.6059548827565742,0.010263715564693437,1.8764930743740431
hourly,H294,autotheta,model,0.9539313811767813,0.007102721296225281,0.9226122619888307
hourly,H297,autotheta,model,1.351060089363872,0.010264591721504622,1.4826684510837473
hourly,H298,autotheta,model,2.0352893873108617,0.015460507972998925,2.0704640426618215
hourly,H299,autotheta,model,3.5672240724920767,0.022630897795216903,3.8802379226263546
hourly,H3,autotheta,model,1.1119529250622215,0.06218208382847734,0.9895677040736267
hourly,H30,autotheta,model,1.186011681126004,0.058698688323752336,1.0709971642295466
hourly,H301,autotheta,model,2.6182815485600948,0.01908114038573301,2.681179431445793
hourly,H306,autotheta,model,1.9735145917686627,0.015928930098561667,2.0983206636255303
hourly,H307,autotheta,model,1.8514451445197073,0.014269509584009363,1.9068224684596544
hourly,H308,autotheta,model,1.4976733910813973,0.012184678534702328,1.4965097838439387
hourly,H312,autotheta,model,1.0726105549424916,0.008531094317835377,1.2024832330141892
hourly,H314,autotheta,model,1.7400079423001498,0.010312834809380831,1.7004060748131868
hourly,H315,autotheta,model,6.743758540505878,0.016279988005839383,4.342525032143893
hourly,H316,autotheta,model,4.249720063523096,0.020439530287716525,4.010622367418231
hourly,H317,autotheta,model,1.3369471804150244,0.010927687960408347,1.416921456875817
hourly,H319,autotheta,model,3.0774160786768094,0.020233816250630563,3.1944290176464523
hourly,H32,autotheta,model,0.49956484162972326,0.022826877770147667,0.4800615132142337
hourly,H321,autotheta,model,2.943552603075313,0.00359519291416076,1.7918208356075727
hourly,H323,autotheta,model,1.4718495889375283,0.011315660934399558,1.5553213917311972
hourly,H324,autotheta,model,1.2822996813829861,0.007951057160616294,1.3019505761341912
hourly,H327,autotheta,model,3.024484439186244,0.02228198776260905,3.3488110750947713
hourly,H331,autotheta,model,1.371303906118249,0.22638314896198675,1.4578875126913433
hourly,H336,autotheta,model,0.33518576282948565,0.15835428743155472,0.25847701081559477
hourly,H338,autotheta,model,0.7334148959708094,0.17961179722589016,0.7315795812594222
hourly,H339,autotheta,model,0.29851704968351683,0.1579128067183975,0.22418934318315292
hourly,H341,autotheta,model,2.052142229850691,0.5608207146730475,1.9943672766327707
